"domainName","defaultAlgorithmCode"
"BR_CPFCNPJ","BR:CpfCnpj"
"BR_TELEFONE","BR:Telefone"
"BR_IPADDRESS","dlpx-core:CM Alpha-Numeric"
"BR_RG","dlpx-core:CM Numeric"
"BR_PRIMEIRONOME","dlpx-core:FirstName"
"BR_ULTIMONOME","dlpx-core:LastName"
"BR_NOMECOMPLETO,"dlpx-core:FullName"
"BR_DATA_NASC","DateShiftDiscrete"
"BR_EMAIL","dlpx-core:Email Unique"
"BR_ENDERECO","BR_ENDERECO"
"BR_BAIRRO","BR_BAIRROS"
"BR_CEP","dlpx-core:CM Numeric"
"BR_CIDADE","BR_CIDADES"
"BR_UF","BR_UF"
"BR_EMPRESA","BusinessLegalEntityLookup"
